act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,quantile_95_act_travelling_time,quantile_90_act_travelling_time,quantile_95_act_occupied_time,quantile_90_act_occupied_time,quantile_85_act_travelling_time
2019-12-26 11:03:10.563,KWT,6005,GC15,2019-12-26 11:03:37.658,27.095,6.0,False,False,False,False,False,False
2019-12-26 11:03:10.762,TIK,7105,GC12,2019-12-26 11:03:29.090,18.328,7.0,False,False,False,False,False,False
2019-12-26 11:03:10.763,YAT,7006C,RC10,2019-12-26 11:04:13.091,62.328,9.0,False,False,False,False,False,False
2019-12-26 11:03:10.961,SKM,22A,QC01,2019-12-26 11:03:31.083,20.122,2.0,False,False,False,False,False,False
2019-12-26 11:03:11.360,KOT,16,RC02,2019-12-26 11:03:32.079,20.719,9.0,False,False,False,False,False,False
2019-12-26 11:03:11.559,NTK,09,GC16,2019-12-26 11:04:23.478,71.919,12.0,False,False,False,False,False,False
2019-12-26 11:03:12.754,WHA,02,GC25,2019-12-26 11:04:09.931,57.177,9.0,False,False,False,False,False,False
2019-12-26 11:03:13.242,CHH,07,GC18,2019-12-26 11:03:29.688,16.446,2.0,False,False,False,False,False,False
2019-12-26 11:03:13.242,YMT,41,GC23,2019-12-26 11:03:34.669,21.427,8.0,False,False,False,False,False,False
2019-12-26 11:03:13.750,SKM,22B,QC01,2019-12-26 11:04:23.278,69.528,3.0,False,False,False,False,False,False
2019-12-26 11:03:13.950,KOB,02,QC07,2019-12-26 11:03:37.264,23.314,10.0,False,False,False,False,False,False
2019-12-26 11:03:14.122,LAT,6103,GC14,2019-12-26 11:03:41.044,26.922,8.0,False,False,False,False,False,False
2019-12-26 11:03:14.348,CHH,06,RC06,2019-12-26 11:03:34.669,20.321,6.0,False,False,False,False,False,False
2019-12-26 11:03:14.348,HOM,14,RC26,2019-12-26 11:03:38.262,23.914,7.0,False,False,False,False,False,False
2019-12-26 11:03:14.547,HOM,19,GC24,2019-12-26 11:03:48.614,34.067,21.0,False,False,False,False,False,False
2019-12-26 11:03:15.543,HOM,02,QC27,2019-12-26 11:03:48.216,32.673,21.0,False,False,False,False,False,False
2019-12-26 11:03:15.942,LOF,07,GC20,2019-12-26 11:04:24.075,68.133,11.0,False,False,False,False,False,False
2019-12-26 11:03:16.141,CHH,09B,GC18,2019-12-26 11:03:46.622,30.481,10.0,False,False,False,False,False,False
2019-12-26 11:03:16.540,LAT,6106,QC09,2019-12-26 11:04:25.072,68.532,18.0,False,False,False,False,False,False
2019-12-26 11:03:17.536,KWT,6007,GC15,2019-12-26 11:04:35.830,78.294,60.0,True,False,False,False,False,False
2019-12-26 11:03:17.735,SKM,22C,QC01,2019-12-26 11:04:28.665,70.93,4.0,False,False,False,False,False,False
2019-12-26 11:03:17.934,TIK,7107,GC12,2019-12-26 11:03:36.063,18.129,3.0,False,False,False,False,False,False
2019-12-26 11:03:19.129,KOB,07,GC17,2019-12-26 11:03:49.212,30.083,12.0,False,False,False,False,False,False
