act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,incident,incident_5_minutes
2019-11-19 05:29:37.503,CHH,06,ET80,2019-11-19 05:30:01.210,23.707,18.0,False,False,False
2019-11-19 05:29:39.495,WTS,11,KT83,2019-11-19 05:29:57.225,17.73,14.0,False,False,False
2019-11-19 05:29:49.655,NTK,02,HT85,2019-11-19 05:30:09.577,19.922,15.0,False,False,False
2019-11-19 05:29:53.839,DIH,01,KT83,2019-11-19 05:30:12.167,18.328,15.0,False,False,False
2019-11-19 05:29:56.429,CHH,08,ET80,2019-11-19 05:30:14.159,17.73,11.0,False,False,False
2019-11-19 05:30:04.995,NTK,04,HT85,2019-11-19 05:30:24.120,19.125,14.0,False,False,False
2019-11-19 05:30:08.182,CHH,10,ET80,2019-11-19 05:31:53.169,104.987,98.0,True,False,False
2019-11-19 05:30:09.178,DIH,03,KT83,2019-11-19 05:30:44.240,35.062,22.0,False,False,False
2019-11-19 05:30:19.139,NTK,06,HT85,2019-11-19 05:30:44.240,25.101,19.0,True,False,False
2019-11-19 05:30:31.690,DIH,05,KT83,2019-11-19 05:31:34.045,62.355,57.0,True,False,False
2019-11-19 05:30:38.862,NTK,08,HT85,2019-11-19 05:31:01.772,22.91,16.0,False,False,False
2019-11-19 05:30:45.635,MOK,43,KT81,2019-11-19 05:31:00.775,15.14,8.0,False,False,False
2019-11-19 05:30:54.002,MOK,45,KT81,2019-11-19 05:31:12.728,18.726,13.0,False,False,False
2019-11-19 05:30:55.596,NTK,10,HT85,2019-11-19 05:31:20.697,25.101,17.0,False,False,False
2019-11-19 05:31:07.947,MOK,47,KT81,2019-11-19 05:31:26.674,18.727,13.0,True,False,False
2019-11-19 05:31:13.127,NTK,12,HT85,2019-11-19 05:31:51.576,38.449,8.0,False,False,False
2019-11-19 05:31:21.096,SKM,01,KT81,2019-11-19 05:31:35.290,14.194,8.0,False,False,False
2019-11-19 05:31:21.693,NTK,14,HT85,,,40.0,False,False,False
2019-11-19 05:31:28.865,DIH,07,KT83,2019-11-19 05:31:59.146,30.281,24.0,False,False,False
2019-11-19 05:31:30.060,SKM,03,KT81,2019-11-19 05:31:44.611,14.550999999999998,8.0,False,False,False
2019-11-19 05:31:39.025,SKM,05,KT81,2019-11-19 05:31:53.576,14.550999999999998,9.0,False,False,False
2019-11-19 05:31:46.396,CHH,12,ET80,2019-11-19 05:32:02.134,15.738,12.0,False,False,False
2019-11-19 05:31:48.388,SKM,07,KT81,2019-11-19 05:32:03.538,15.15,9.0,False,False,False
2019-11-19 05:31:52.970,DIH,09,KT83,,,,False,False,False
2019-11-19 05:31:58.150,SKM,09,KT81,,,4.0,False,False,False
2019-11-19 05:31:59.146,CHH,14,ET80,,,6.0,False,False,False
2019-11-19 05:32:01.736,NTK,16,HT85,,,,False,False,False
2019-11-19 05:32:02.931,SKM,11,KT81,,,,False,False,False
2019-11-19 05:32:05.919,CHH,16,ET80,,,,False,False,False
2019-11-19 05:32:10.503,CHH,18,ET80,2019-11-19 05:32:16.677,6.174,3.0,False,False,False
2019-11-19 05:32:14.485,CHH,20,ET80,2019-11-19 05:32:22.255,7.77,5.0,False,False,False
2019-11-19 05:32:15.482,CHH,01,KT83,2019-11-19 05:32:29.227,13.745,10.0,False,False,False
2019-11-19 05:32:20.076,DIH,02,ET80,2019-11-19 05:32:30.821,10.745,7.0,False,False,False
2019-11-19 05:32:26.438,CHH,03,KT83,2019-11-19 05:32:37.196,10.758,7.0,False,False,False
2019-11-19 05:32:28.032,DIH,04,ET80,2019-11-19 05:32:38.192,10.16,7.0,False,False,False
2019-11-19 05:32:28.431,SKM,15,KT81,2019-11-19 05:32:48.551,20.12,14.0,False,False,False
2019-11-19 05:32:34.009,CHH,05,KT83,2019-11-19 05:32:46.758,12.749,9.0,False,False,False
2019-11-19 05:32:35.602,DIH,06,ET80,2019-11-19 05:32:48.153,12.550999999999998,10.0,False,False,False
2019-11-19 05:32:42.973,SKM,17,KT81,2019-11-19 05:33:02.696,19.723,13.0,False,False,False
2019-11-19 05:32:43.372,CHH,07,KT83,2019-11-19 05:32:50.557,7.185,3.0,False,False,False
