act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,arr_time,dep_time,arr_delay,dep_delay,incident,destination_code_train,timetable_code_train,number_train,quantile,fault_description,fault_classification,propagated,act_travelling_time_quantile,act_occupied_time_quantile
2019-11-19 00:02:17.606,YMT,39,GA12,2019-11-19 00:02:42.350,24.744,8.0,False,,,-57.86414764397906,-26.942167539267018,False,G,A,12,0,,,True,0,0
2019-11-19 00:02:19.598,SKM,05,KS98,2019-11-19 00:02:31.949,12.351,9.0,False,,,-58.333497382198956,-27.42040837696335,False,K,S,98,0,,,True,0,0
2019-11-19 00:02:25.773,YMT,41,GA12,2019-11-19 00:02:55.457,29.684,,False,,,-58.802847120418846,-27.898649214659688,False,G,A,12,0,,,True,0,0
2019-11-19 00:02:26.371,YMT,41,KS12,2019-11-19 00:02:55.457,29.086,88.0,False,,,-59.27219685863874,-28.376890052356025,False,K,S,12,0,,,True,0,0
2019-11-19 00:02:28.762,SKM,07,KS98,2019-11-19 00:02:41.910,13.148,10.0,False,,,-59.74154659685864,-28.855130890052358,False,K,S,98,0,,,True,0,0
2019-11-19 00:02:36.930,LAT,6110,HA46,2019-11-19 00:03:19.562,42.632,23.0,False,,,-60.21089633507854,-29.333371727748695,False,H,A,46,0,,,True,0,0
2019-11-19 00:02:38.922,SKM,09,KS98,2019-11-19 00:02:46.375,7.4529999999999985,4.0,False,,,-60.680246073298434,-29.811612565445028,False,K,S,98,0,,,True,0,0
2019-11-19 00:02:43.105,SKM,11,KS98,2019-11-19 00:02:51.871,8.766,5.0,False,,,-61.149595811518324,-30.289853403141365,False,K,S,98,0,,,True,0,0
2019-11-19 00:02:48.285,SKM,13,KS98,2019-11-19 00:03:07.011,18.726,15.0,True,,,-61.61894554973822,-30.768094240837698,False,K,S,98,0,,,True,0,0
2019-11-19 00:03:00.836,LAT,6108,HA46,2019-11-19 00:03:30.519,29.683000000000003,8.0,False,,,-62.08829528795812,-31.246335078534035,False,H,A,46,0,,,True,0,0
2019-11-19 00:03:03.625,SKM,15,KS98,2019-11-19 00:03:16.375,12.75,10.0,False,,,-62.55764502617801,-31.72457591623037,False,K,S,98,0,,,True,0,0
2019-11-19 00:03:09.203,LAT,6106,HA46,2019-11-19 00:03:38.488,29.285,9.0,False,,,-63.026994764397905,-32.202816753926705,False,H,A,46,0,,,True,0,0
2019-11-19 00:03:13.806,SKM,17,KS98,2019-11-19 00:03:27.531,13.725,11.0,False,,,-63.4963445026178,-32.68105759162304,False,K,S,98,0,,,True,0,0
2019-11-19 00:03:18.765,LAT,6104,HA46,2019-11-19 00:03:48.449,29.684,12.0,True,,,-63.9656942408377,-33.15929842931938,False,H,A,46,0,,,True,0,0
2019-11-19 00:03:25.339,SKM,19,KS98,2019-11-19 00:03:35.898,10.559,7.0,False,,,-64.4350439790576,-33.63753926701571,False,K,S,98,0,,,True,0,0
2019-11-19 00:03:30.917,LAT,6102,HA46,2019-11-19 00:03:54.624,23.707,6.0,False,,,-64.90439371727749,-34.115780104712044,False,H,A,46,0,,,True,0,0
2019-11-19 00:03:32.911,SKM,21,KS98,2019-11-19 00:03:43.468,10.557,8.0,False,,,-65.37374345549739,-34.59402094240838,False,K,S,98,0,,,True,0,0
2019-11-19 00:03:37.093,KWT,6016,HA46,2019-11-19 00:04:10.562,33.469,16.0,False,,,-65.84309319371728,-35.07226178010471,False,H,A,46,0,,,True,0,0
2019-11-19 00:03:41.277,KOT,01,KS98,2019-11-19 00:03:51.437,10.16,7.0,False,,,-66.31244293193717,-35.55050261780105,False,K,S,98,0,,,True,0,0
2019-11-19 00:03:49.245,KOT,03,KS98,2019-11-19 00:03:59.405,10.16,7.0,False,,,-66.78179267015707,-36.028743455497384,False,K,S,98,0,,,True,0,0
2019-11-19 00:03:53.429,KWT,6014,HA46,2019-11-19 00:04:23.511,30.082,13.0,False,,,-67.25114240837696,-36.506984293193725,False,H,A,46,0,,,True,0,0
2019-11-19 00:03:54.624,MOK,45,KS12,2019-11-19 00:04:10.362,15.738,1.0,False,,,-67.72049214659685,-36.98522513089006,False,K,S,12,0,,,True,0,0
2019-11-19 00:03:56.417,PRE,47,KS12,2019-11-19 00:04:23.909,27.492,14.0,True,,,-68.18984188481676,-37.46346596858639,False,K,S,12,0,,,True,0,0
2019-11-19 00:03:57.015,KOT,05,KS98,2019-11-19 00:04:07.374,10.359000000000002,7.0,False,,,-68.65919162303665,-37.941706806282724,False,K,S,98,0,,,True,0,0
2019-11-19 00:04:04.807,KOT,07,KS98,2019-11-19 00:04:15.542,10.735,7.0,False,,,-69.12854136125655,-38.41994764397906,False,K,S,98,0,,,True,0,0
2019-11-19 00:04:06.777,KWT,6012,HA46,2019-11-19 00:04:37.058,30.281,13.0,False,,,-69.59789109947644,-38.8981884816754,False,H,A,46,0,,,True,0,0
2019-11-19 00:04:10.761,SKM,01,KS12,2019-11-19 00:04:31.479,20.718000000000004,8.0,False,,,-70.06724083769635,-39.37642931937173,False,K,S,12,0,,,True,0,0
2019-11-19 00:04:12.753,KOT,09,KS98,2019-11-19 00:04:28.491,15.738,13.0,True,,,-70.53659057591624,-39.85467015706807,False,K,S,98,0,,,True,0,0
2019-11-19 00:04:18.929,SKM,03,KS12,2019-11-19 00:04:39.448,20.519,7.0,False,,,-71.00594031413613,-40.332910994764404,False,K,S,12,0,,,True,0,0
2019-11-19 00:04:19.925,KWT,6010,HA46,2019-11-19 00:04:49.409,29.484,11.0,False,,,-71.47529005235603,-40.81115183246074,False,H,A,46,0,,,True,0,0
2019-11-19 00:04:25.901,KOT,11,KS98,2019-11-19 00:04:38.452,12.550999999999998,10.0,False,,,-71.94463979057592,-41.28939267015707,False,K,S,98,0,,,True,0,0
2019-11-19 00:04:26.897,SKM,05,KS12,2019-11-19 00:04:47.815,20.918000000000006,7.0,False,,,-72.41398952879581,-41.767633507853404,False,K,S,12,0,,,True,0,0
2019-11-19 00:04:31.479,KWT,6008,HA46,2019-11-19 00:05:05.745,34.266,17.0,True,,,-72.88333926701571,-42.24587434554974,False,H,A,46,0,,,True,0,0
2019-11-19 00:04:34.667,SKM,07,KS12,2019-11-19 00:04:55.983,21.316,8.0,False,,,-73.3526890052356,-42.72411518324608,False,K,S,12,0,,,True,0,0
2019-11-19 00:04:36.659,KOT,13,KS98,2019-11-19 00:04:47.815,11.156,8.0,False,,,-73.8220387434555,-43.20235602094242,False,K,S,98,0,,,True,0,0
2019-11-19 00:04:42.835,SKM,09,KS12,2019-11-19 00:05:00.964,18.129,4.0,False,,,-74.2913884816754,-43.68059685863875,False,K,S,12,0,,,True,0,0
2019-11-19 00:04:45.225,KOT,15,KS98,2019-11-19 00:04:56.382,11.157,9.0,False,,,-74.76073821989529,-44.158837696335084,False,K,S,98,0,,,True,0,0
2019-11-19 00:04:47.218,SKM,11,KS12,2019-11-19 00:05:06.940,19.722,4.0,False,,,-75.23008795811518,-44.63707853403142,False,K,S,12,0,,,True,0,0
2019-11-19 00:04:49.011,KWT,6006,HA46,2019-11-19 00:05:11.721,22.71,5.0,False,,,-75.69943769633508,-45.11531937172775,False,H,A,46,0,,,True,0,0
